Date,Open,High,Low,Close,Volume,Adj Close
2014-08-01,24594.23,25243.16,24190.93,24742.06,1419447500,24742.06
2014-07-02,23326.53,24912.22,23126.68,24756.85,1529905500,24756.85
2014-06-03,23327.51,23397.77,22802.10,23190.72,1478374400,23190.72
2014-05-02,22194.66,23209.26,21680.33,23081.65,1500537800,23081.65
2014-04-01,22292.32,23224.54,22096.95,22133.97,1691060000,22133.97
2014-03-03,22630.77,22839.43,21137.61,22151.06,1817199000,22151.06
2014-02-04,21561.70,22986.70,21197.78,22836.96,1802182000,22836.96
2014-01-02,23452.76,23469.33,21746.23,22035.42,1745695800,22035.42
2013-12-02,23936.15,24111.55,22713.70,23306.39,1391954200,23306.39
2013-11-01,23208.80,24014.81,22463.40,23881.29,1652506400,23881.29
2013-10-02,22997.21,23534.67,22640.18,23206.37,1452385900,23206.37
2013-09-02,21948.72,23554.34,21948.72,22859.86,1816720500,22859.86
2013-08-01,22025.75,22695.99,21465.72,21731.37,1552296900,21731.37
2013-07-01,20803.29,22070.14,20119.56,21883.66,1506915800,21883.66
2013-06-03,22301.68,22564.18,19426.36,20803.29,2392547600,20803.29
2013-05-01,22737.01,23512.42,22290.72,22392.16,1592387100,22392.16
2013-04-01,22299.63,22862.69,21423.25,22737.01,1525176900,22737.01
2013-03-01,22957.09,23262.02,21975.90,22299.63,1932594600,22299.63
2013-02-01,23763.34,23944.74,22445.34,23020.27,1557330600,23020.27
2013-01-02,22860.25,23916.16,22860.25,23729.53,1753042300,23729.53
2012-12-03,22070.44,22718.83,21687.88,22656.92,1500475500,22656.92
2012-11-01,21573.93,22149.70,21098.41,22030.39,1441551100,22030.39
2012-10-01,20840.38,21847.70,20767.36,21641.82,1593868900,21641.82
2012-09-03,19414.62,20895.61,19076.79,20840.38,1735606300,20840.38
2012-08-01,19646.96,20300.03,19450.77,19482.57,1305904900,19482.57
2012-07-02,19441.46,19869.11,18710.59,19796.81,1433367200,19796.81
2012-06-01,18498.91,19578.82,18056.40,19441.46,1650371100,19441.46
2012-05-02,21245.48,21385.30,18378.14,18629.52,2225198200,18629.52
2012-04-02,20662.97,21105.57,20035.68,21094.21,1616989900,21094.21
2012-03-01,21578.19,21641.14,20374.03,20555.58,1723090500,20555.58
2012-02-01,20394.67,21760.34,20269.51,21680.08,1720332000,21680.08
2012-01-03,18770.64,20590.80,18302.84,20390.49,1854060000,20390.49
2011-12-01,19033.96,19242.80,17821.52,18434.39,1452402100,18434.39
2011-11-01,19461.08,20173.14,17613.20,17989.35,2117359700,17989.35
2011-10-03,17179.20,20272.38,16170.35,19864.87,2298894000,19864.87
2011-09-01,20790.22,20975.30,16999.54,17592.41,2334174000,17592.41
2011-08-01,22739.55,22808.33,18868.11,20534.85,2621420000,20534.85
2011-07-04,22813.25,22835.03,21611.16,22440.25,1999129500,22440.25
2011-06-01,23686.77,23706.00,21508.77,22398.10,1745792200,22398.10
2011-05-02,23720.81,23924.48,22519.66,23684.13,1289308800,23684.13
